# L=6, T=4.0 
# E      M        E^2        M^2
-19.12    -0.32     477.44     150.16
-20.16    0.62     499.52     138.68
-19.12    0.94     476.8     108.68
-20.24    1.14     534.08     149.56
-20.16    -0.24     523.84     147.04
-20.44    -2.38     505.44     143.72
-21.08    -0.42     570.08     161.56
-20.68    0.94     498.08     155.32
-20.36    2.18     540.0     149.8
-20.56    0.96     520.96     156.48
-20.36    -0.14     533.28     136.28
-22.16    -0.64     598.4     159.76
-20.36    -1.28     580.96     184.56
-18.92    -0.78     448.8     143.8
-20.36    2.4     488.48     149.36
-19.92    -0.58     482.24     133.8
-20.16    -0.66     552.96     185.32
-21.16    1.22     565.92     140.76
-19.28    1.04     505.92     153.52
-20.48    0.46     503.04     140.6
-20.04    0.08     489.12     127.6
-19.04    -0.9     454.08     132.2
-19.32    -0.9     470.88     135.88
-21.04    -2.76     562.88     182.32
-20.8    -0.78     564.48     157.48
-19.88    -2.5     492.32     147.72
-19.04    1.0     440.96     129.2
-19.0    0.46     452.32     127.0
-20.64    3.1     555.2     165.96
-20.64    -1.0     502.72     133.84
-23.2    -1.2     664.96     188.08
-19.4    -1.48     490.72     143.68
-21.16    0.86     548.0     145.24
-19.76    1.64     507.84     144.16
-18.68    -1.42     454.56     118.76
-19.4    0.86     493.92     134.12
-18.48    2.24     433.28     115.52
-18.6    -0.58     445.6     125.96
-19.6    0.42     488.32     125.72
-21.36    -0.22     567.04     157.56
-20.0    2.02     490.24     151.8
-19.6    -0.04     488.96     144.96
-21.64    0.32     581.28     159.68
-18.88    -0.26     451.2     135.56
-20.04    -0.4     540.96     159.92
-20.96    2.38     560.64     180.68
-20.68    1.32     542.24     146.16
-18.56    -1.64     434.88     130.8
-19.2    -0.84     484.8     141.84
-20.6    1.98     512.8     169.48
-19.32    -1.32     485.92     137.44
-21.16    2.54     589.6     185.96
-21.52    0.62     567.36     157.16
-20.4    0.38     533.76     144.92
-19.36    -0.6     483.2     160.8
-21.68    -1.32     584.32     163.36
